,Node,VRF,Network,Next_Hop,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
286,as2dist1,default,2.128.0.0/16,as2border1,2.1.1.1,dynamic,ibgp,0,200,
287,as2border2,default,10.23.21.2/32,,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
288,as1border1,default,1.10.1.1/32,as1core1,1.0.1.2,dynamic,ospf,2,110,
289,as2border2,default,2.12.12.0/24,as2core2,2.12.22.2,dynamic,ospf,2,110,
290,as2dist1,default,2.23.21.0/24,,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
291,as3core1,default,90.90.90.2/32,,AUTO/NONE(-1l),GigabitEthernet3/0,local,0,0,
292,as2core2,default,2.23.11.0/24,as2dist1,2.23.21.3,dynamic,ospf,2,110,
293,as2core1,default,2.23.21.0/24,as2dist1,2.23.11.3,dynamic,ospf,2,110,
294,as2dist2,default,10.12.11.0/24,as2core1,2.23.12.2,dynamic,ospfE2,20,110,
295,as2dept1,default,3.0.2.0/24,as2dist2,2.34.201.3,dynamic,bgp,50,20,
296,as2core2,default,2.1.2.1/32,as2dist2,2.23.22.3,dynamic,ospf,3,110,
297,as2core2,default,2.23.22.2/32,,AUTO/NONE(-1l),GigabitEthernet2/0,local,0,0,
298,as2core1,default,2.12.12.0/24,as2border1,2.12.11.1,dynamic,ospf,2,110,
299,as2dist1,default,2.1.1.1/32,as2core2,2.23.21.2,dynamic,ospf,3,110,
300,as2border2,default,2.1.3.1/32,as2core2,2.12.22.2,dynamic,ospf,3,110,
301,as2dist2,default,2.1.3.1/32,as2core1,2.23.12.2,dynamic,ospf,3,110,
302,as2core1,default,2.1.2.2/32,as2dist1,2.23.11.3,dynamic,ospf,3,110,
303,as2border2,default,2.12.22.1/32,,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
304,as2dist2,default,1.0.1.0/24,as1border1,10.12.11.1,dynamic,ibgp,50,200,
305,as2dist2,default,1.0.1.0/24,as1border1,10.12.11.1,dynamic,ibgp,50,200,
306,as3core1,default,3.1.1.1/32,as3border1,3.0.1.1,dynamic,ospf,2,110,
307,as2dist1,default,1.0.1.0/24,as1border1,10.12.11.1,dynamic,ibgp,50,200,
308,as2dist1,default,1.0.1.0/24,as1border1,10.12.11.1,dynamic,ibgp,50,200,
309,as2core1,default,2.1.3.1/32,as2dist1,2.23.11.3,dynamic,ospf,2,110,
310,as2dist2,default,2.1.3.2/32,,AUTO/NONE(-1l),Loopback0,connected,0,0,
311,as2dist1,default,2.23.22.0/24,as2core2,2.23.21.2,dynamic,ospf,2,110,
312,as2dist2,default,10.23.21.0/24,as2core2,2.23.22.2,dynamic,ospfE2,20,110,
313,as3core1,default,2.128.0.0/16,as2border2,10.23.21.2,dynamic,ibgp,50,200,
314,as1border1,default,1.1.1.1/32,,AUTO/NONE(-1l),Loopback0,connected,0,0,
315,as3border2,default,2.128.0.0/16,as2border2,10.23.21.2,dynamic,ibgp,50,200,
316,host1,default,0.0.0.0/0,as2dept1,2.128.0.1,eth0,static,0,1,
317,as2border2,default,2.1.3.2/32,as2core2,2.12.22.2,dynamic,ospf,3,110,
318,as3core1,default,90.90.90.0/24,,AUTO/NONE(-1l),GigabitEthernet2/0,connected,0,0,
319,as2dist2,default,2.34.201.3/32,,AUTO/NONE(-1l),GigabitEthernet2/0,local,0,0,
320,as2border1,default,10.23.21.0/24,as2core2,2.12.12.2,dynamic,ospfE2,20,110,
321,as2core1,default,2.128.0.0/16,as2border2,2.1.1.2,dynamic,ibgp,0,200,
322,as2border2,default,3.0.2.0/24,as3border1,10.23.21.3,dynamic,bgp,50,20,
323,as2core1,default,2.128.0.0/24,as2dept1,2.34.201.4,dynamic,ibgp,50,200,
324,as2core1,default,2.128.0.0/16,as2border1,2.1.1.1,dynamic,ibgp,0,200,
325,as2border1,default,2.1.3.2/32,as2core2,2.12.12.2,dynamic,ospf,3,110,
326,as1border2,default,1.1.1.1/32,as1core1,1.0.2.2,dynamic,ospf,3,110,
327,as2core2,default,2.128.0.0/24,as2dept1,2.34.201.4,dynamic,ibgp,50,200,
328,as2core2,default,2.128.0.0/16,as2border1,2.1.1.1,dynamic,ibgp,0,200,
329,as2dept1,default,2.128.0.0/24,,AUTO/NONE(-1l),GigabitEthernet2/0,connected,0,0,
330,as2core2,default,1.0.2.0/24,as1border1,10.12.11.1,dynamic,ibgp,50,200,
331,as2dist2,default,2.12.21.0/24,as2core1,2.23.12.2,dynamic,ospf,2,110,
332,as2core2,default,10.23.21.0/24,as2border2,2.12.22.1,dynamic,ospfE2,20,110,
333,as2dist2,default,2.34.101.0/24,as2core1,2.23.12.2,dynamic,ospfE2,20,110,
334,as2core1,default,1.0.2.0/24,as1border1,10.12.11.1,dynamic,ibgp,50,200,
335,as2border2,default,10.23.21.0/24,,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
336,as2dist1,default,2.34.201.0/24,as2core1,2.23.11.2,dynamic,ospfE2,20,110,
337,as3border2,default,3.0.1.0/24,as3core1,3.0.2.2,dynamic,ospf,2,110,
338,as2core2,default,2.128.0.0/16,as2border2,2.1.1.2,dynamic,ibgp,0,200,
